time,x,y,vx,vy,omega,linear_velocity,distance_from_start,goal_status
84.413,-3.314937441868836,1.7839350916433747,-0.0007799373375207857,5.5024972324524015e-06,1.5613993615354316e-05,0.0007799567474769387,10.270875790582938,SUCCEEDED
84.447,-3.314963138908489,1.7839350066670367,-0.0007813969516475972,5.5154421608031145e-06,1.5637929810767507e-05,0.0007814164166092152,10.270901486275985,SUCCEEDED
84.48,-3.314988882093281,1.7839349190457534,-0.0007827839160297216,5.490170393525762e-06,1.543601625584932e-05,0.0007828031688526663,10.270927228146814,SUCCEEDED
84.514,-3.3150154477314677,1.7839348304053082,-0.0007840549462176817,5.471577177414162e-06,1.5312869004736336e-05,0.0007840740378594487,10.270953792404029,SUCCEEDED
84.547,-3.3150412763585257,1.7839347436588766,-0.0007853977838873011,5.50076221826771e-06,1.545106184628655e-05,0.0007854170467465457,10.270979619696382,SUCCEEDED
84.58,-3.3150671492028496,1.7839346558146099,-0.0007866549537764943,5.5589508513258775e-06,1.5780074420432434e-05,0.0007866745948838477,10.271005491217077,SUCCEEDED
84.614,-3.3150938481728556,1.7839345671987035,-0.0007878661575240641,5.60585404720048e-06,1.6056154284194514e-05,0.0007878861007603395,10.2710321887926,SUCCEEDED
84.647,-3.31511980615802,1.7839344797993986,-0.000789288849967436,5.587093334117717e-06,1.5868836920992098e-05,0.0007893086242369596,10.271058145439468,SUCCEEDED
84.68,-3.3151458051048963,1.7839343935664624,-0.0007907369178919816,5.46108898441267e-06,1.508351458757092e-05,0.0007907557757046141,10.271084143027602,SUCCEEDED
84.714,-3.315172641832704,1.7839343016473863,-0.0007920034005248577,5.45354907944075e-06,1.5045823966554934e-05,0.0007920221762302493,10.271110978393782,SUCCEEDED
84.747,-3.315198729614462,1.7839342149523083,-0.0007931734828968788,5.519898663306599e-06,1.543279389211235e-05,0.0007931926898629478,10.271137064814528,SUCCEEDED
84.779,-3.315224859286922,1.7839341284554313,-0.0007944216011393906,5.6249653335784175e-06,1.6031635187502418e-05,0.000794441514897023,10.27116319311905,SUCCEEDED
84.814,-3.315251827033489,1.783934037585024,-0.0007960631443108293,5.4510042962808316e-06,1.4921137440684893e-05,0.0007960818068376405,10.271190159476305,SUCCEEDED
84.847,-3.315278049723828,1.7839339473353764,-0.0007972945627692604,5.578599349318751e-06,1.5675231052610287e-05,0.0007973140790128607,10.271216380842302,SUCCEEDED
84.88,-3.3153043123875032,1.7839338593329264,-0.0007985550631456602,5.465066170182463e-06,1.4981806053333053e-05,0.0007985737635458692,10.271242642146087,SUCCEEDED
84.916,-3.3153314164139807,1.7839337685529761,-0.0007997767005014341,5.692985895536531e-06,1.6313118585268586e-05,0.0007997969622056384,10.271269744768524,SUCCEEDED
84.947,-3.315357764888984,1.7839336811747046,-0.000801296306085062,5.551826267473861e-06,1.5418508909467753e-05,0.0008013155389236312,10.271296091866382,SUCCEEDED
84.98,-3.315384155980057,1.7839335944056764,-0.0008023870230584938,5.642179144763736e-06,1.5968518365527718e-05,0.0008024068599894778,10.271322481567537,SUCCEEDED
85.014,-3.3154113971173635,1.7839335002905112,-0.0008041801887705211,5.394192792953294e-06,1.4404461388986715e-05,0.0008041982798581942,10.271349721334175,SUCCEEDED
85.046,-3.3154378796774333,1.7839334117512728,-0.0008052246582050444,5.527602245562491e-06,1.5217805070917876e-05,0.0008052436305665607,10.271376202520191,SUCCEEDED
85.08,-3.3154644069163464,1.7839333216551732,-0.000806656336057326,5.549340872316185e-06,1.5299183076798896e-05,0.0008066754239999795,10.271402728402535,SUCCEEDED
85.114,-3.315491784983179,1.7839332282079876,-0.0008079610585924903,5.481626341216955e-06,1.4891446505931899e-05,0.0008079796534747903,10.271430105075787,SUCCEEDED
85.148,-3.31551839996029,1.7839331391763251,-0.000809373784800316,5.567320346285915e-06,1.5347572288847873e-05,0.0008093929321274226,10.271456718672697,SUCCEEDED
85.18,-3.3155450601249354,1.7839330488611667,-0.0008106958686592784,5.485490977066814e-06,1.4841031537239026e-05,0.0008107144269546961,10.271483377470732,SUCCEEDED
85.213,-3.315572573217143,1.7839329564800896,-0.0008120125309215602,5.463199848281075e-06,1.4693434972890131e-05,0.0008120309088490536,10.271510889141032,SUCCEEDED
85.247,-3.3155993220728144,1.7839328663862433,-0.0008133311943715845,5.51829552858772e-06,1.4997594956037272e-05,0.0008133499144423937,10.271537636618223,SUCCEEDED
